make,model,year,fuel_type,engine_size,avg_consumption
Alfa Romeo,4C,2014,petrol,1.8,7.7
Alfa Romeo,4C,2015,petrol,1.8,8.4
Alfa Romeo,4C,2016,petrol,1.8,8.4
Alfa Romeo,4C,2017,petrol,1.8,8.4
Alfa Romeo,4C Coupe,2018,petrol,1.8,8.4
Alfa Romeo,4C Coupe,2019,petrol,1.8,8.4
Alfa Romeo,4C Spider,2017,petrol,1.8,8.4
Alfa Romeo,4C Spider,2018,petrol,1.8,8.4
Alfa Romeo,4C Spider,2019,petrol,1.8,8.4
Alfa Romeo,4C Spider,2020,petrol,1.8,8.4
Alfa Romeo,Giulia,2017,petrol,2.0,8.7
Alfa Romeo,Giulia,2018,petrol,2.0,8.7
Alfa Romeo,Giulia,2019,petrol,2.0,8.7
Alfa Romeo,Giulia,2020,petrol,2.0,8.7
Alfa Romeo,Giulia,2021,petrol,2.0,8.7
Alfa Romeo,Giulia,2022,petrol,2.0,8.7
Alfa Romeo,Giulia,2023,petrol,2.0,8.7
Alfa Romeo,Giulia,2024,petrol,2.0,8.7
Alfa Romeo,Giulia,2025,petrol,2.0,8.7
Alfa Romeo,Giulia,2026,petrol,2.0,8.7
Alfa Romeo,Giulia AWD,2017,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2018,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2019,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2020,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2021,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2022,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2023,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2024,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2025,petrol,2.0,9.2
Alfa Romeo,Giulia AWD,2026,petrol,2.0,9.2
Alfa Romeo,Giulia Quadrifoglio,2017,petrol,2.9,11.9
Alfa Romeo,Giulia Quadrifoglio,2018,petrol,2.9,11.9
Alfa Romeo,Giulia Quadrifoglio,2019,petrol,2.9,11.9
Alfa Romeo,Giulia Quadrifoglio,2020,petrol,2.9,11.6
Alfa Romeo,Giulia Quadrifoglio,2021,petrol,2.9,11.6
